X,Y,Z
73.902,89.764,32.523
74.555,90.301,33.103
73.953,91.114,33.208
75.095,92.776,34.443
74.321,92.226,33.830
78.111,91.878,35.724
75.089,91.129,33.741
77.190,90.495,34.534
78.613,90.166,35.185
79.643,89.912,35.773
77.227,92.594,35.526
77.457,91.298,35.138
76.058,92.651,34.908
76.275,90.310,34.078
74.686,96.521,35.499
74.732,94.169,34.734
75.632,93.915,35.206
74.287,98.679,36.126
75.759,96.057,36.119
76.422,95.185,36.131
74.030,93.638,34.126
79.927,92.162,36.936
81.346,92.175,37.857
81.871,91.311,37.665
78.957,92.192,36.359
81.393,89.909,37.214
83.029,90.172,37.753
80.198,91.076,36.609
80.461,92.761,37.604
82.763,91.228,38.050
74.197,101.302,36.979
76.177,100.092,37.875
74.285,99.910,36.547
75.676,101.338,38.053
75.817,99.300,37.295
75.236,100.294,37.321
76.531,97.598,37.183
78.173,95.573,37.377
79.286,95.538,37.999
76.711,98.756,37.809
78.242,96.977,38.070
78.937,93.579,37.038
77.514,94.790,36.665
78.482,94.518,37.190
80.244,94.095,38.085
76.697,95.956,36.725
75.021,99.088,36.712
79.378,94.566,37.660
81.268,93.100,38.149
82.149,92.474,38.461
84.495,90.690,38.763
75.109,105.287,38.818
75.601,103.872,38.787
77.668,99.783,38.739
77.052,101.009,38.783
76.408,102.449,38.831
80.226,95.254,38.448
79.841,96.162,38.701
81.077,94.378,38.673
81.919,93.570,38.738
80.829,90.225,36.435
83.075,92.327,38.832
74.503,106.191,38.666
85.683,91.288,39.699
84.464,92.715,39.775
87.632,92.681,41.425
87.488,91.821,40.792
87.405,90.254,40.133
89.446,90.275,41.341
88.661,91.627,41.468
86.924,91.199,40.183
85.690,90.392,39.160
86.531,89.853,39.395
76.223,105.584,39.746
77.342,105.520,40.527
77.861,104.646,40.497
76.861,104.389,39.775
77.580,103.185,39.875
80.226,102.871,41.514
77.870,102.061,39.654
79.569,102.020,40.732
80.749,101.989,41.422
78.997,100.619,39.939
80.584,100.054,40.675
81.655,100.509,41.457
82.544,98.896,41.300
81.528,98.588,40.650
79.440,99.449,39.760
83.410,97.175,41.245
78.908,101.317,40.547
83.887,95.844,40.955
81.866,97.238,40.296
81.275,95.511,39.206
82.914,95.266,40.048
81.022,96.678,39.628
84.316,94.961,40.767
78.659,102.407,40.247
79.576,103.735,41.281
83.778,94.390,40.171
82.764,96.624,40.568
85.753,94.568,41.374
84.878,94.033,40.580
82.094,94.916,39.479
82.635,97.657,40.840
82.812,94.117,39.501
82.095,96.213,39.923
80.271,98.669,40.032
80.382,100.946,41.039
78.387,105.444,41.091
78.478,99.538,39.244
79.776,100.236,40.297
86.180,93.169,40.841
91.033,92.547,43.299
90.169,91.978,42.564
91.650,91.725,43.293
90.294,90.876,41.964
93.040,90.929,43.614
91.932,90.614,42.868
91.182,90.198,42.236
91.103,91.140,42.622
93.052,91.895,44.093
91.941,92.596,43.862
80.538,105.726,42.584
82.405,105.682,43.650
82.176,104.583,43.329
80.331,104.294,41.881
83.225,103.148,43.541
82.030,102.854,42.583
81.601,102.012,42.076
79.745,105.416,41.983
82.730,101.092,42.435
83.641,100.824,42.928
83.754,102.204,43.586
85.292,99.735,43.429
84.550,101.060,43.588
86.181,98.630,43.545
86.627,97.751,43.242
85.815,97.515,42.861
85.196,97.207,42.236
86.800,96.359,43.123
88.594,95.556,43.574
84.197,98.503,42.291
89.290,94.762,43.464
86.106,95.448,41.973
89.885,93.898,43.473
84.715,99.103,42.758
87.676,94.378,42.315
88.480,93.741,42.500
85.017,98.138,42.469
82.767,102.175,42.834
83.413,99.019,41.911
83.389,105.085,44.113
83.904,103.616,44.120
85.577,100.859,44.030
86.881,99.133,44.096
85.035,102.075,44.153
88.737,96.436,44.163
89.890,95.227,44.202
90.952,93.841,44.026
87.547,98.273,44.127
86.397,100.062,44.104
75.376,113.695,43.678
75.075,112.782,43.070
77.711,112.178,43.215
78.864,112.077,43.607
76.012,112.025,42.676
76.183,113.167,43.379
77.063,111.320,42.539
76.446,110.169,41.583
78.751,110.108,43.209
75.349,109.984,41.036
80.207,109.726,43.667
78.114,111.205,42.857
77.286,108.707,41.494
77.649,110.083,42.124
75.916,108.172,40.541
79.269,107.739,42.490
78.739,109.158,42.561
81.216,107.433,43.613
75.178,107.343,39.633
76.713,107.264,40.607
80.226,107.151,42.908
78.008,106.365,41.282
75.884,111.005,41.815
76.125,109.203,41.036
78.999,106.836,42.022
77.735,107.466,41.330
75.606,106.447,39.504
77.400,113.066,43.690
76.864,114.012,44.134
80.731,108.862,43.737
79.822,112.232,44.168
80.594,110.736,44.203
81.683,108.251,44.170
81.089,109.690,44.214
75.917,114.367,44.204
82.208,107.386,44.224
93.657,92.588,44.857
95.019,92.644,45.616
95.660,91.832,45.476
94.524,91.516,44.687
97.918,91.628,46.709
96.842,91.332,45.914
97.795,90.243,45.912
95.968,92.705,46.164
85.011,105.690,45.463
84.699,104.548,44.878
85.806,104.515,45.540
88.038,104.303,46.796
84.081,105.340,45.100
85.570,103.125,44.817
88.187,103.133,46.420
87.250,103.855,46.188
88.476,101.993,46.145
89.351,102.063,46.821
87.419,101.704,45.391
86.633,101.156,44.785
86.053,102.150,44.815
87.811,99.768,44.908
89.848,99.801,46.243
91.213,98.929,46.737
89.049,99.354,45.492
90.180,98.788,46.062
90.554,97.255,45.527
93.401,97.059,46.887
89.214,98.221,45.120
91.618,96.700,45.761
90.914,96.216,45.182
90.442,100.490,46.902
